Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"03601141",Arnimplatz,"03",01.01.2021,286789.929
,,,,,,"-1","0","-1",,,"11401137",Erieseering,"11",01.01.2021,718030.243
,,,,,,"-1","0","-1",,,"10100311",Marzahner Chaussee,"10",01.01.2021,3993423.949
,,,,,,"-1","0","-1",,,"09100306",Späthsfelde,"09",01.01.2021,2722772.522
,,,,,,"-1","0","-1",,,"03400724",Wolfshagener Straße,"03",01.01.2021,770100.486
,,,,,,"-1","0","-1",,,"01200628",Lüneburger Straße,"01",01.01.2021,745610.394
,,,,,,"-1","0","-1",,,"08401241",Blumenviertel,"08",01.01.2021,2120024.309
,,,,,,"-1","0","-1",,,"04400726",Bismarckallee,"04",01.01.2021,1428438.058
,,,,,,"-1","0","-1",,,"12400618",Heiligensee Nord,"12",01.01.2021,3247148.021
,,,,,,"-1","0","-1",,,"11300618",Storkower Bogen,"11",01.01.2021,321189.597
,,,,,,"-1","0","-1",,,"06100102",Schloßstraße,"06",01.01.2021,488811.665
,,,,,,"-1","0","-1",,,"03701660",Bötzowstraße,"03",01.01.2021,570547.019
,,,,,,"-1","0","-1",,,"01400941",Londoner Straße,"01",01.01.2021,450348.205
,,,,,,"-1","0","-1",,,"08100313",Bouchéstraße,"08",01.01.2021,140057.883
,,,,,,"-1","0","-1",,,"01100416",Arkonaplatz,"01",01.01.2021,602000.541
,,,,,,"-1","0","-1",,,"01100313",Heine-Viertel Ost,"01",01.01.2021,718064.233
,,,,,,"-1","0","-1",,,"12400721",Frohnau Ost,"12",01.01.2021,5090010.815
,,,,,,"-1","0","-1",,,"01200519",Emdener Straße,"01",01.01.2021,347156.033
,,,,,,"-1","0","-1",,,"03400721",Florakiez,"03",01.01.2021,794219.102
,,,,,,"-1","0","-1",,,"02200209",Viktoriapark,"02",01.01.2021,693579.377
,,,,,,"-1","0","-1",,,"05400944",Kladower Damm,"05",01.01.2021,4312179.525
,,,,,,"-1","0","-1",,,"02500830",Niederbarnimstraße,"02",01.01.2021,165471.669
,,,,,,"-1","0","-1",,,"07501031",Eisenacher Straße,"07",01.01.2021,1542267.734
,,,,,,"-1","0","-1",,,"08301037",Gropiusstadt Süd-Ost,"08",01.01.2021,437939.506
,,,,,,"-1","0","-1",,,"12601031",Lübarser Straße,"12",01.01.2021,1134119.154
,,,,,,"-1","0","-1",,,"04400728",Hagenplatz,"04",01.01.2021,943658.249
,,,,,,"-1","0","-1",,,"07200307",Bayerischer Platz,"07",01.01.2021,523935.318
,,,,,,"-1","0","-1",,,"09501737",Alt-Friedrichshagen,"09",01.01.2021,11170398.98
,,,,,,"-1","0","-1",,,"10200524",Adele-Sandrock-Straße,"10",01.01.2021,1111320.474
,,,,,,"-1","0","-1",,,"03500932",Bühringstraße,"03",01.01.2021,992545.879
,,,,,,"-1","0","-1",,,"07200413",Cheruskerstraße,"07",01.01.2021,797218.918
,,,,,,"-1","0","-1",,,"02400520",Barnimkiez,"02",01.01.2021,941559.045
,,,,,,"-1","0","-1",,,"02500836",Stralauer Halbinsel,"02",01.01.2021,1116993.913
,,,,,,"-1","0","-1",,,"12500928",Waidmannslust,"12",01.01.2021,1731905.042
,,,,,,"-1","0","-1",,,"05100210",Germersheimer Platz,"05",01.01.2021,544791.04
,,,,,,"-1","0","-1",,,"08401246",Waltersdorfer Chaussee Ost,"08",01.01.2021,2245148.779
,,,,,,"-1","0","-1",,,"03300515",Blankenburger Süden,"03",01.01.2021,1162742.094
,,,,,,"-1","0","-1",,,"04500936",Droysenstraße,"04",01.01.2021,273545.336
,,,,,,"-1","0","-1",,,"02300419",Wrangelkiez,"02",01.01.2021,526704.17
,,,,,,"-1","0","-1",,,"08100208",Körnerpark,"08",01.01.2021,553852.128
,,,,,,"-1","0","-1",,,"07100101",Wittenbergplatz,"07",01.01.2021,621002.31
,,,,,,"-1","0","-1",,,"03500935",Behaimstraße,"03",01.01.2021,439055.07
